20	17	2	8	24	23	1	2	16	21	1	2	6	13	2	8	25	11	4	4	0	7	2	5	12	7	2	1	4	1	1	1	31	2	4	8	0	13	4	5	0	5	1	2	24	2	4	5	4	10	1	2	0	22	1	6	28	6	1	2	0	0	4	3	6	15	4	4	36	20	4	3	30	11	4	5	0	9	1	3	11	15	4	8	20	1	1	2	0	20	1	8	36	12	4	3	16	23	1	1	1	11	1	5	20	7	1	4	16	5	1	1	28	22	1	1	0	23	1	1	32	1	1	1	4	0	1	4	8	21	1	1	20	16	1	4	0	4	1	4	16	19	1	5	16	10	1	5	16	9	1	5	0	12	1	5	0	6	1	5		
8	7	1	7	4	4	1	8	13	9	1	3	11	22	2	1	31	9	4	8	19	16	4	7	11	2	2	4	2	5	4	5	4	15	1	8	15	21	2	5	31	0	4	8	0	8	4	1	4	13	1	8	0	0	4	3	31	20	4	8	0	4	4	1	19	20	1	1	15	12	1	1	30	16	4	5	16	6	1	5	16	5	1	5	4	0	4	1	27	16	4	2	2	16	4	1	29	8	4	1	4	20	4	1	4	14	1	1	8	8	1	4	0	12	4	3	36	16	4	3	15	23	1	3	9	16	4	3	15	16	4	3	9	9	4	3	0	20	4	3	4	16	4	4	25	0	4	5	4	9	4	4	6	0	4	4	6	20	4	4		
1	17	4	4	37	1	4	2	1	7	4	1	20	22	1	4	5	6	1	4	0	8	4	0	36	15	4	3	29	2	1	1	14	4	1	3	12	22	1	1	14	3	1	4	31	4	4	3	0	12	2	4	20	13	1	4	35	5	4	4	6	19	1	7	30	11	2	4	3	10	1	8	0	15	1	8	6	17	1	6	2	23	1	8	10	12	1	4	0	21	2	5	6	18	1	6	14	0	2	0	20	21	1	4	16	1	1	4	16	0	1	5	0	5	1	6	6	14	1	7	2	11	1	6	4	9	1	8	11	20	1	6	10	13	1	0	0	0	2	6	3	7	1	6	5	16	1	6	1	2	1	6	0	3	2	6	5	8	1	6		
0	4	4	0	1	6	4	8	5	0	1	5	20	16	1	4	20	5	1	3	1	18	4	4	21	12	2	1	0	16	1	4	5	2	2	3	32	6	4	7	0	17	1	0	25	11	4	8	34	11	4	5	38	20	4	1	30	19	2	3	33	0	2	2	36	5	1	0	11	9	1	4	7	18	1	6	23	7	1	1	0	0	4	4	25	1	1	1	0	13	1	4	6	21	1	6	3	4	1	8	1	22	1	8	12	6	1	4	0	12	1	4	3	14	1	4	0	15	1	8	4	17	1	8	5	1	1	4	10	8	1	4	14	2	1	4	3	10	1	8	13	3	1	5	6	19	1	5	0	23	1	8	6	20	1	5	0	11	1	5		
3	18	1	8	1	9	2	2	7	17	1	3	18	13	4	4	0	9	4	0	13	8	2	8	32	5	4	7	16	4	1	5	0	4	2	7	32	14	4	6	11	0	4	5	27	0	4	3	12	13	4	5	23	14	4	8	5	20	1	6	39	13	4	0	7	0	4	3	0	17	4	2	0	0	4	6	33	20	4	6	31	0	4	8	7	10	1	7	17	0	4	8	1	23	1	7	23	13	1	3	0	15	1	2	0	22	1	7	0	13	1	2	16	5	1	3	1	21	1	7	4	12	1	8	4	19	1	8	0	7	1	7	0	6	1	7	0	14	1	2	1	8	1	2	7	11	1	7	3	11	1	0	3	17	1	0	0	16	1	2		
38	16	4	1	0	19	1	0	26	0	4	3	0	4	4	3	4	15	2	3	4	13	1	8	4	2	1	2	26	19	2	5	1	12	4	2	4	6	1	1	22	6	4	8	4	14	1	8	4	5	1	8	4	4	1	8	0	11	1	8	1	18	1	8	31	0	4	8	18	6	4	3	31	6	4	8	20	20	4	3	4	10	1	8	1	17	1	8	4	9	1	0	0	15	4	0	4	21	1	3	10	12	1	1	0	0	4	1	0	20	4	3	2	3	1	3	4	22	1	3	18	1	1	1	4	23	1	3	14	0	1	1	18	12	1	3	4	19	1	1	24	22	1	3	4	20	1	3	2	8	1	3	24	21	1	3	22	16	1	3		
0	18	2	0	0	20	2	7	2	0	1	4	16	3	1	4	27	4	4	8	18	12	4	8	0	11	1	8	19	22	2	3	0	7	4	8	27	12	4	8	0	16	1	8	38	22	2	0	22	17	2	3	14	1	2	5	2	19	1	8	21	10	1	3	30	17	2	4	22	0	1	0	16	20	2	8	2	17	2	4	9	1	4	4	22	6	4	4	0	12	4	8	28	8	2	4	26	0	2	4	12	7	4	8	9	12	4	8	5	23	1	0	14	4	2	1	9	22	2	0	18	5	2	0	38	9	2	0	36	0	2	0	14	17	2	0	36	2	2	1	18	17	2	1	36	4	2	1	36	20	2	1	34	22	2	1	2	1	2	1		
4	17	2	7	0	7	2	8	4	4	1	8	17	9	2	8	6	13	4	8	35	7	4	4	22	17	2	4	20	13	1	4	20	5	2	8	36	21	1	0	20	14	1	1	3	15	2	0	0	21	1	8	0	13	2	2	6	22	2	8	34	15	2	2	10	11	2	4	0	0	2	4	24	15	2	4	20	19	2	8	15	19	2	0	18	13	2	0	7	2	2	4	5	2	2	0	0	2	2	0	7	9	2	4	32	11	2	1	4	5	2	1	0	4	2	1	14	0	2	2	28	7	2	2	20	2	2	4	8	5	2	2	30	22	2	4	30	2	2	4	14	5	2	2	20	0	2	4	7	19	2	2	30	0	2	4	0	11	2	4		
18	0	4	7	28	11	2	5	3	11	4	5	19	4	1	2	32	13	4	5	0	6	4	0	9	11	4	8	26	0	4	0	0	23	1	8	28	5	4	7	19	5	4	8	1	5	4	8	0	15	1	7	0	21	1	3	0	20	1	8	18	11	4	3	7	22	1	7	31	0	4	8	3	10	1	8	4	9	1	8	26	11	4	0	0	1	4	8	22	11	4	3	2	9	4	0	19	16	4	8	10	5	4	8	0	16	4	8	38	13	4	0	9	16	4	8	9	1	4	8	3	22	1	0	0	11	4	1	32	21	1	0	36	23	1	0	36	17	4	3	28	16	4	3	27	0	4	3	2	0	1	3	36	5	4	3	16	21	1	3		
39	7	4	0	6	0	2	2	19	6	1	3	19	2	4	3	3	11	1	2	9	22	2	2	3	18	2	5	26	23	1	0	12	1	1	4	32	16	4	4	15	11	4	5	0	17	1	6	31	7	4	7	23	18	4	8	34	15	1	0	12	7	4	8	21	11	4	6	24	4	2	6	30	22	2	2	4	5	2	0	11	15	2	6	36	20	4	1	28	11	4	2	2	12	4	8	15	2	4	3	31	11	4	8	3	7	4	8	2	0	4	0	6	3	4	0	25	7	4	0	22	20	4	0	2	4	4	0	0	18	4	2	0	13	4	1	32	0	4	1	38	20	4	1	35	0	4	2	37	16	4	2	0	8	4	2	21	7	4	3		
